merged_nj,nj
NorthAfrican_west,Libyan
NorthAfrican_west,Algerian
NorthAfrican_west,Tunisian
NorthAfrican_west,Moroccan
Turkmen-Uzbek,Turkmen
Turkmen-Uzbek,Uzbek
Swede-Norwegian-German,German
Swede-Norwegian-German,Swede
Swede-Norwegian-German,Norwegian
Palestinian-Jordanian,Palestinian
Palestinian-Jordanian,Jordanian
Saudi-Bedouin,Saudi
Saudi-Bedouin,Bedouin
Lithuanian-Latvian,Lithuanian
Lithuanian-Latvian,Latvian
Basque-Spanish_north,Basque
Basque-Spanish_north,Spanish_north
Italian_central_south,Tuscan
Italian_central_south,Italian_south
Romanian-Moldavian,Romanian
Romanian-Moldavian,Moldavian
Chuvash-Tatar_Volga,Chuvash
Chuvash-Tatar_Volga,Tatar_Kazan
Pole-Ukrainian_north,Polish
Pole-Ukrainian_north,Ukrainian_north
Brit,English
Brit,Scottish
Finn-Estonian,Finnish
Finn-Estonian,Estonian